Added 2 to h, from 1, with h[2] = 2
Added 4 to h, from 2, with h[4] = 3
Added 8 to h, from 4, with h[8] = 4
Added 16 to h, from 8, with h[16] = 5
Added 32 to h, from 16, with h[32] = 6
Added 5 to h, from 16, with h[5] = 6
Added 10 to h, from 5, with h[10] = 7
Added 20 to h, from 10, with h[20] = 8
Added 3 to h, from 10, with h[3] = 8
Added 6 to h, from 3, with h[6] = 9
Added 12 to h, from 6, with h[12] = 10
Added 24 to h, from 12, with h[24] = 11
Added 40 to h, from 20, with h[40] = 9
Added 48 to h, from 24, with h[48] = 12
Added 64 to h, from 32, with h[64] = 7
Added 80 to h, from 40, with h[80] = 10
Added 13 to h, from 40, with h[13] = 10
Added 26 to h, from 13, with h[26] = 11
Added 52 to h, from 26, with h[52] = 12
Added 96 to h, from 48, with h[96] = 13
Added 104 to h, from 52, with h[104] = 13
Added 17 to h, from 52, with h[17] = 13
Added 34 to h, from 17, with h[34] = 14
Added 68 to h, from 34, with h[68] = 15
Added 11 to h, from 34, with h[11] = 15
Added 22 to h, from 11, with h[22] = 16
Added 44 to h, from 22, with h[44] = 17
Added 7 to h, from 22, with h[7] = 17
Added 14 to h, from 7, with h[14] = 18
Added 28 to h, from 14, with h[28] = 19
Added 56 to h, from 28, with h[56] = 20
Added 9 to h, from 28, with h[9] = 20
Added 18 to h, from 9, with h[18] = 21
Added 36 to h, from 18, with h[36] = 22
Added 72 to h, from 36, with h[72] = 23
Added 88 to h, from 44, with h[88] = 18
Added 112 to h, from 56, with h[112] = 21
Added 128 to h, from 64, with h[128] = 8
Added 21 to h, from 64, with h[21] = 8
Added 42 to h, from 21, with h[42] = 9
Added 84 to h, from 42, with h[84] = 10
Added 136 to h, from 68, with h[136] = 16
Added 144 to h, from 72, with h[144] = 24
Added 160 to h, from 80, with h[160] = 11
Added 168 to h, from 84, with h[168] = 11
Added 176 to h, from 88, with h[176] = 19
Added 29 to h, from 88, with h[29] = 19
Added 58 to h, from 29, with h[58] = 20
Added 116 to h, from 58, with h[116] = 21
Added 19 to h, from 58, with h[19] = 21
Added 38 to h, from 19, with h[38] = 22
Added 76 to h, from 38, with h[76] = 23
Added 152 to h, from 76, with h[152] = 24
Added 25 to h, from 76, with h[25] = 24
Added 50 to h, from 25, with h[50] = 25
Added 100 to h, from 50, with h[100] = 26
Added 192 to h, from 96, with h[192] = 14
Added 200 to h, from 100, with h[200] = 27
Added 33 to h, from 100, with h[33] = 27
Added 66 to h, from 33, with h[66] = 28
Added 132 to h, from 66, with h[132] = 29
Added 208 to h, from 104, with h[208] = 14
Added 224 to h, from 112, with h[224] = 22
Added 37 to h, from 112, with h[37] = 22
Added 74 to h, from 37, with h[74] = 23
Added 148 to h, from 74, with h[148] = 24
Added 232 to h, from 116, with h[232] = 22
Added 256 to h, from 128, with h[256] = 9
Added 264 to h, from 132, with h[264] = 30
Added 272 to h, from 136, with h[272] = 17
Added 45 to h, from 136, with h[45] = 17
Added 90 to h, from 45, with h[90] = 18
Added 180 to h, from 90, with h[180] = 19
Added 288 to h, from 144, with h[288] = 25
Added 296 to h, from 148, with h[296] = 25
Added 49 to h, from 148, with h[49] = 25
Added 98 to h, from 49, with h[98] = 26
Added 196 to h, from 98, with h[196] = 27
Added 304 to h, from 152, with h[304] = 25
Added 320 to h, from 160, with h[320] = 12
Added 53 to h, from 160, with h[53] = 12
Added 106 to h, from 53, with h[106] = 13
Added 212 to h, from 106, with h[212] = 14
Added 35 to h, from 106, with h[35] = 14
Added 70 to h, from 35, with h[70] = 15
Added 140 to h, from 70, with h[140] = 16
Added 23 to h, from 70, with h[23] = 16
Added 46 to h, from 23, with h[46] = 17
Added 92 to h, from 46, with h[92] = 18
Added 15 to h, from 46, with h[15] = 18
Added 30 to h, from 15, with h[30] = 19
Added 60 to h, from 30, with h[60] = 20
Added 120 to h, from 60, with h[120] = 21
Added 184 to h, from 92, with h[184] = 19
Added 240 to h, from 120, with h[240] = 22
Added 280 to h, from 140, with h[280] = 17
Added 336 to h, from 168, with h[336] = 12
Added 352 to h, from 176, with h[352] = 20
Added 360 to h, from 180, with h[360] = 20
Added 368 to h, from 184, with h[368] = 20
Added 61 to h, from 184, with h[61] = 20
Added 122 to h, from 61, with h[122] = 21
Added 244 to h, from 122, with h[244] = 22
Added 384 to h, from 192, with h[384] = 15
Added 392 to h, from 196, with h[392] = 28
Added 65 to h, from 196, with h[65] = 28
Added 130 to h, from 65, with h[130] = 29
Added 260 to h, from 130, with h[260] = 30
Added 43 to h, from 130, with h[43] = 30
